"Ricardo","Ricardo"
"Dashboard","Dashboard"
"Products Listing","Produktübersicht"
"Logs","Logs"
"Ricardo Assistant","Ricardo Assistent"
"Configuration","Konfiguration"
"Ricento by Diglin GmbH","Ricento von der Diglin GmbH"
"Product Listing","Produktübersicht"
"Log","Log"
"Ricardo Payment Methods","Ricardo Zahlarten"
"Ricardo Shipping","Ricardo Versandarten"
"Admin Email Notification","Admin Email Benachrichtigung"
"Private message","Private Nachricht"
"Global Configuration","Globale Konfiguration"
"Merge Order","Bestellungen zusammenfassen"
"If a customer order several products in a period of 30 minutes, do you want to merge the ricardo transaction in one order?","Wenn ein Kunde mehrere Produkte innerhalb von 30 Minuten bestellt, möchten Sie, dass die Bestellungen zusammengefasst werden?"
"Shipping Calculation","Versandkosten-Kalkulation"
"You can decide how do you want to calculate the shipping cost when an order merge several bought products by a customer.<br>","Sie können entscheiden, wie die Versandkosten berechnet werden, wenn eine Bestellung zusammengefasst wurde.<br>"
"                            ""Highest Price"": it will find which product has the highest cost for the shipping and will take only this one for the calculation.<br>","""Höchster Preis"": diese Methode findet das Produkt mit dem höchsten Versandkostenpreis und nutzt diesen Versandkostenpreis für die Gesamtsumme.<br>"
"                            ""Cumulative"": it will calculate the shipping cost based on the configuration you did in the products listing for each article and will combine them.","""Kumulativ"": diese Methode addiert die Versandkosten der einzelnen Produkte"
"Send Account Creation Confirmation Email","Sende Willkommensbestätigung per Mail"
"Do you want to send a confirmation email to a customer when his account is created thanks to the Ricardo API?","Möchten Sie eine Bestätigungsmail (via Ricardo API) senden, wenn ein Kunde ein Konto erstellt hat?"
"Send Email for new order","Sende Email beim Eingang einer neuen Bestellung"
"Do you want to send the newly order created by email to a customer when the order is created thanks to the Ricardo API?","Do you want to send the newly order created by email to a customer when the order is created thanks to the Ricardo API?","??"
"API Token Configuration","API Token Konfiguration"
"General API Config","Allgemeine API Konfiguration"
"Ricardo Extension enabled","Ricardo Extension aktiviert"
"Development Mode","Entwicklermodus"
"If you enable this configuration, all API requests will be send to the Ricardo Sandbox instead to use the production servers. Be aware, you have to provide others partner Keys and Passwords specific for dev environment below.","Wenn Sie diese Funktion aktivieren, werden alle API-Anfragen an die Ricardo Sandbox verschickt. Stellen Sie sicher, dass Sie die dafür passenden API-Keys und Passwörter eingetragen haben."
"Debug","Debug"
"Write into the var/log/ricento.log file all requests sent to the Ricardo API. Enable it to help us to suppport you and send this file to us if you have an issue. Your passwords will be anonymized.","In diesem Modus werden alle Anfragen an die Ricardo-API in die Datei var/log/ricento.log geschrieben. Aktivieren Sie diesen Modus, wenn Sie Probleme haben und schicken Sie uns diese Datei zu. Damit können wir Ihnen helfen. Die Passwörter werden anonymisiert."
"German API Token","Deutscher API Token"
"PROD German Partner Key","PROD Deutscher Partner Schlüssel"
"Partner Key has the following format '0F12345-1234-1234-1234-1234567890'. You have to sign up to the Ricardo API to get this information. Click on the button at the top of this page","Der Partner Schlüssel hat das folgende Format: '0F12345-1234-1234-1234-1234567890'. Sie müssen sich für die Ricardo API anmelden, um diesen Schlüssel zu bekommen. Klicken Sie dazu auf den Button oben auf der Seite."
"PROD German Partner Password","PROD Deutsches Partner Passwort"
"You have to sign up to the Ricardo API to get this information. Click on the button at the top of this page","Sie müssen sich für die Ricardo API anmelden, um diesen Schlüssel zu bekommen. Klicken Sie dazu auf den Button oben auf der Seite."
"DEV German Partner Key","Entwicklermodus deutscher Partner Schlüssel"
"DEV German Partner Password","Entwicklermodus deutsches Partner Passwort"
"French API Token","Französischer API Token"
"PROD French Partner Key","PROD Französischer Partner Schlüssel"
"PROD French Partner Password","PROD Französischer Partner Passwort"
"DEV French Partner Key","Entwicklermodus französischer Partner Schlüssel"
"DEV French Partner Password","Entwicklermodus französischer Partner Passwort"
"Cleanup Synchronization Jobs Log","Leere Log für Synchronisation-Jobs"
"Enabled","Aktiviert"
"Keep for X days","Halte für x Tage vor"
"Cleanup Listings Log","Leere Log für Produktlisten"
"Ricardo API Payment Methods","Ricardo API Zahlarten"
"Bank Transfer Instructions","Instruktionen Bank-Überweisung"
"Accepted Currency","Akzeptierte Währung"
"Stock quantity set to 1 because auction sales type with direct buy option does not allow more than one article to be sold","Lagerbestand auf 1 gesetzt, da die Zahlart ""Direkt Kaufen"" nicht mehr als einen Artikel erlaubt."
"Invalid start date.","Ungültiges Startdatum"
"The end date must be in the future.","Das Enddatum muss in der Zukunft liegen."
"Listed listings cannot be modified. Stop the listing first to make changes.","Aktive Listungen können nicht verändert werden. Beenden Sie die Listung, um Änderungen vornehmen zu können."
"An error occurred while saving the configuration.","Ein Fehler trat beim Speichern der Konfiguration auf."
"Ricardo Service Model doesn\'t exists.","Ricardo Service Model existiert nicht."
"Ricardo API Credentials are not configured. Please, configure the extension before to proceed.","Ricardo API Daten sind nicht vorhanden. Bitte tragen Sie zunächst die Daten ein."
"API language provided for the Service Manager is not supported.","API Sprache für den Service Manager wird nicht unterstützt."
